"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Kyyjärvi";"312";"yhteensä";2015;2.9;4
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Kyyjärvi";"312";"yhteensä";2015;15.2;21
"Koulutustasomittain";"180";"Lemland";"417";"yhteensä";2015;308;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Lemland";"417";"yhteensä";2015;8.9;72
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Lemland";"417";"yhteensä";2015;2.0;4
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Lemland";"417";"yhteensä";2015;12.1;24
"Koulutustasomittain";"180";"Lempäälä";"418";"yhteensä";2015;411;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Lempäälä";"418";"yhteensä";2015;9.9;903
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Lempäälä";"418";"yhteensä";2015;4.5;102
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Lempäälä";"418";"yhteensä";2015;33.1;746
"Koulutustasomittain";"180";"Luoto";"440";"yhteensä";2015;316;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Luoto";"440";"yhteensä";2015;19.3;309
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Luoto";"440";"yhteensä";2015;2.7;14
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Luoto";"440";"yhteensä";2015;12.0;62
"Koulutustasomittain";"180";"Masku";"481";"yhteensä";2015;376;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Masku";"481";"yhteensä";2015;7.6;290
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Masku";"481";"yhteensä";2015;1.4;14
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Masku";"481";"yhteensä";2015;12.4;120
"Koulutustasomittain";"180";"Muurame";"500";"yhteensä";2015;413;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Muurame";"500";"yhteensä";2015;9.4;373
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Muurame";"500";"yhteensä";2015;5.3;52
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Muurame";"500";"yhteensä";2015;21.3;209
"Koulutustasomittain";"180";"Mäntsälä";"505";"yhteensä";2015;323;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Mäntsälä";"505";"yhteensä";2015;10.3;886
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Mäntsälä";"505";"yhteensä";2015;3.6;75
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Mäntsälä";"505";"yhteensä";2015;31.9;659
"Koulutustasomittain";"180";"Nokia";"536";"yhteensä";2015;351;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Nokia";"536";"yhteensä";2015;9.0;1340
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Nokia";"536";"yhteensä";2015;6.5;217
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Nokia";"536";"yhteensä";2015;34.8;1154
"Koulutustasomittain";"180";"Nurmijärvi";"543";"yhteensä";2015;369;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Nurmijärvi";"543";"yhteensä";2015;10.8;1809
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Nurmijärvi";"543";"yhteensä";2015;3.4;143
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Nurmijärvi";"543";"yhteensä";2015;22.0;922
"Koulutustasomittain";"180";"Oulu";"564";"yhteensä";2015;419;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Oulu";"564";"yhteensä";2015;7.7;7302
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Oulu";"564";"yhteensä";2015;7.1;1406
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Oulu";"564";"yhteensä";2015;53.5;10612
