"change"	"2016"	"Muncipality"
"130"	-11.5384615384615	1633	"Taivassalo"
"131"	-11.4730878186969	1250	"Utsjoki"
"132"	-11.3956881180094	5466	"Siikajoki"
"133"	-11.265705792721	35523	"Savonlinna"
"134"	-11.2445820433437	7167	"Haapavesi"
"135"	-11.1973590292648	9953	"Leppävirta"
"136"	-10.5631126985333	11769	"Kankaanpää"
"137"	-10.4994171971667	9982	"Lapinlahti"
"138"	-10.3855421686747	7438	"Haapajärvi"
"139"	-10.3774808665197	6909	"Kemiönsaari"
"140"	-10.1508916323731	5240	"Hankasalmi"
"141"	-10.133779264214	2687	"Alavieska"
"142"	-9.91100816774351	7390	"Suonenjoki"
"143"	-9.90938661710037	15510	"Uusikaupunki"
"144"	-9.82278809084135	27835	"Imatra"
"145"	-9.50298210735586	2276	"Vehmaa"
"146"	-9.47368421052632	5590	"Kannus"
"147"	-9.28711576193591	2774	"Lapinjärvi"
"148"	-9.25696594427245	2931	"Perho"
"149"	-9.21683982142112	21758	"Kemi"
"150"	-9.09090909090909	470	"Brändö"
"151"	-8.83418717980757	7296	"Harjavalta"
"152"	-8.78378378378378	4860	"Luumäki"
"153"	-8.69565217391304	6804	"Inari"
"154"	-8.57750113860635	12044	"Alavus"
"155"	-8.31811156386118	19575	"Heinola"
"156"	-8.10447474553486	4785	"Isokyrö"
"157"	-8.10379241516966	4604	"Kärkölä"
"158"	-8.07017543859649	2358	"Muonio"
"159"	-8.00159765677007	6910	"Iitti"
"160"	-7.94726019112133	7610	"Oulainen"
"161"	-7.93103448275862	2136	"Pyhäranta"
"162"	-7.7992277992278	2388	"Humppila"
"163"	-7.67234495608198	13875	"Kauhajoki"
"164"	-7.66666666666667	554	"Föglö"
"165"	-7.56802073012728	12128	"Eura"
"166"	-7.54329698524695	7207	"Ikaalinen"
"167"	-7.52740958926526	5651	"Nakkila"
"168"	-7.20481681804266	9093	"Somero"
"169"	-7.07876370887338	8388	"Keminmaa"
"170"	-6.81001639006176	85855	"Kouvola"
"171"	-6.72628304821151	2399	"KoskiTl"
"172"	-6.63907472502551	16467	"Loimaa"
"173"	-6.55438747049989	17422	"Forssa"
"174"	-6.48110297669925	25165	"Raahe"
"175"	-6.35400907715582	10523	"Sotkamo"
"176"	-6.17384240454915	21945	"Iisalmi"
"177"	-5.99100392382046	19646	"Äänekoski"
"178"	-5.88566997955875	13352	"Ulvila"
"179"	-5.2450135434622	3848	"Kolari"
"180"	-5.16237605749113	20851	"Hamina"
"181"	-5.12727602137875	10473	"Huittinen"
"182"	-4.75852272727273	9387	"Närpiö"
"183"	-4.47479981158738	2028	"Marttila"
"184"	-4.31747477046817	25220	"Sastamala"
"185"	-4.13500618483831	5425	"Jokioinen"
"186"	-4.11845659819563	37622	"Kajaani"
"187"	-4.04122278832793	8287	"Asikkala"
"188"	-3.94588500563698	8520	"Laitila"
"189"	-3.82537688442211	15311	"Loviisa"
"190"	-3.50970744358533	39809	"Rauma"
"191"	-3.29076620825147	1969	"Myrskylä"
"192"	-2.97498309668695	4305	"Kaustinen"
"193"	-2.8684907325684	2201	"Korsnäs"
"194"	-2.70821199767036	6682	"Kruunupyy"
"195"	-2.46614653394314	10876	"Nivala"
"196"	-2.28883313526123	22199	"Tornio"
"197"	-2.04910793146087	5545	"Maalahti"
"198"	-1.82108626198083	3073	"Lemi"
"199"	-1.66370976501684	54319	"Kotka"
"200"	-1.49011657374557	19436	"Pietarsaari"
"201"	-1.21126317445336	6280	"Tammela"
"202"	-0.990726653626023	54665	"Mikkeli"
"203"	0.0976753272123462	5124	"Sievi"
"204"	0.144549428853476	28405	"Raasepori"
"205"	0.15179625569236	5938	"Eurajoki"
"206"	0.255134583492792	7859	"Mynämäki"
"207"	0.464869172532873	7564	"Uusikaarlepyy"
"208"	0.552953421805881	15457	"Parainen"
"209"	0.604596346493813	85363	"Pori"
"210"	0.617935192162773	6676	"Pälkäne"
"211"	0.752105896510229	3349	"Luvia"
"212"	0.833807087360243	5321	"Pyhtää"
"213"	1.32450331125828	1377	"Oripää"
"214"	1.36535218054775	12621	"Kalajoki"
"215"	1.38888888888889	1971	"Pukkila"
"216"	1.46076794657763	2431	"Toivakka"
"217"	1.74180327868852	993	"Hailuoto"
"218"	2.35505080693365	8562	"Pöytyä"
"219"	2.35969387755102	4815	"Taipalsaari"
"220"	2.60839720855737	8969	"Karkkila"
"221"	2.68924302788845	1031	"Sund"
"222"	2.89477391181857	14609	"Lapua"
"223"	3.12102451021966	12159	"Ilmajoki"
"224"	3.20196100961354	53890	"Salo"
"225"	3.4228643459711	21332	"Valkeakoski"
"226"	3.72779549077659	72875	"Lappeenranta"
"227"	3.7344398340249	500	"Geta"
"228"	4.26618980712735	16326	"Orimattila"
"229"	5.05146613614739	24290	"Raisio"
"230"	5.70728291316527	3019	"Sauvo"
"231"	5.7316250842886	9408	"Orivesi"
"232"	6.4259160913436	4008	"Petäjävesi"
"233"	6.55585031325845	75514	"Joensuu"
"234"	6.56955924719313	118743	"Lahti"
"235"	6.825874388868	17043	"Akaa"
"236"	6.83970693352395	23915	"Hollola"
"237"	6.875	9747	"Hattula"
"238"	7.32223745639459	61838	"Rovaniemi"
"239"	7.46450657608222	12338	"Liperi"
"240"	7.68046721144487	47570	"Kokkola"
"241"	7.70395799676898	10667	"Hämeenkyrö"
"242"	7.8053600098802	8729	"Hausjärvi"
"243"	8.01884873944697	185908	"Turku"
"244"	8.03971405877681	68011	"Hämeenlinna"
"245"	8.40053077472696	10620	"Paimio"
"246"	8.60518190361122	8090	"Laihia"
"247"	8.72733435011015	6416	"Kittilä"
"248"	8.82187366541134	112117	"Kuopio"
"249"	8.98546860418611	8175	"Loppi"
"250"	9.23560808234846	11461	"Maarianhamina"
"251"	9.25925925925926	1829	"Saltvik"
"252"	9.26438691217869	47353	"Lohja"
"253"	9.3711467324291	16853	"Janakkala"
"254"	9.64532019704433	11129	"Pedersörenkunta"
"255"	9.70149253731343	441	"Vårdö"
"256"	9.7767277023036	46463	"Hyvinkää"
"257"	10.0139919302356	67619	"Vaasa"
"258"	10.5200945626478	935	"Eckerö"
"259"	10.7597716293368	2522	"Finström"
"260"	10.9603462393262	9486	"Kauniainen"
"261"	11.1731843575419	398	"Lumparland"
"262"	11.2847222222222	21794	"Siilinjärvi"
"263"	11.9060426752734	49928	"Porvoo"
"264"	12.1159886616104	29269	"Riihimäki"
"265"	13.0477855477855	19399	"Sipoo"
"266"	13.2796022898463	15039	"Ylivieska"
"267"	13.4696636809194	6714	"Vöyri"
"268"	13.9639108385423	9663	"Ii"
"269"	13.9868958472065	628208	"Helsinki"
"270"	14.0168370414913	18961	"Naantali"
"271"	14.0207715133531	1537	"Hammarland"
"272"	14.5307978503514	5541	"Inkoo"
"273"	14.562458249833	18865	"Laukaa"
"274"	15.3444823599086	40900	"Järvenpää"
"275"	16.2519240636224	9063	"Muhos"
"276"	16.5363868843633	225118	"Tampere"
"277"	16.8309689829286	4859	"Nousiainen"
"278"	16.8331214817505	19302	"Mustasaari"
"279"	17.0642201834862	5104	"Askola"
"280"	17.1085376779374	35293	"Kerava"
"281"	17.6130895091434	3666	"Uurainen"
"282"	19.608526051825	137368	"Jyväskylä"
"283"	20.205066344994	3986	"Aura"
"284"	20.9422011084719	6110	"Rusko"
"285"	21.0480522048645	30607	"Kangasala"
"286"	21.6678194414523	214605	"Vantaa"
"287"	22.1109350237718	19263	"Lieto"
"288"	22.1511951083936	61530	"Seinäjoki"
"289"	22.4810469696328	28919	"Vihti"
"290"	23.3511586452763	2076	"Lumijoki"
"291"	23.3925821355236	38459	"Tuusula"
"292"	23.6389847869798	32590	"Kaarina"
"293"	23.8426511510245	9791	"Muurame"
"294"	24.2441272338991	33162	"Nokia"
"295"	26.4132494041435	20685	"Mäntsälä"
"296"	26.5159288031252	198525	"Oulu"
"297"	26.8250433061123	5125	"Pornainen"
"298"	26.9297163995068	5147	"Luoto"
"299"	27.8956384240348	9706	"Masku"
"300"	28.2034771410174	1991	"Lemland"
"301"	28.6811944655096	269802	"Espoo"
"302"	29.5716715633215	41897	"Nurmijärvi"
"303"	30.5863581970483	32738	"Ylöjärvi"
"304"	30.8072342302603	14827	"Kontiolahti"
"305"	31.1412812897751	6182	"Siuntio"
"306"	32.0204953031597	38649	"Kirkkonummi"
"307"	32.3798289590091	4489	"Vesilahti"
"308"	37.1492025035332	6793	"Tyrnävä"
"309"	41.1676271611125	22536	"Lempäälä"
"310"	41.1930172913047	17066	"Kempele"
"311"	41.3625304136253	4648	"Jomala"
"312"	53.0425635216054	18913	"Pirkkala"
"313"	76.2191877992552	9937	"Liminka"
